"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21368","test_hello","sample.zephyr.native_sim_32","Sat Dec 20 00:34:06 UTC 2025","failed","Sat Dec 20 00:34:28 UTC 2025","","hello","",""
"","11624","test_set_int_range_out_max","hil.zephyr.native_sim_64","Sat Dec 20 00:27:13 UTC 2025","passed","Sat Dec 20 00:27:25 UTC 2025","","test_settings","",""
"","242","test_manifest","hil.linux.linux","Sat Dec 20 00:24:36 UTC 2025","passed","Sat Dec 20 00:24:36 UTC 2025","","test_ota","",""
"","21420","test_hello","sample.zephyr.native_sim_64","Sat Dec 20 00:33:30 UTC 2025","failed","Sat Dec 20 00:33:51 UTC 2025","","hello.psa_crypto","",""
"","11625","test_set_int_range_out_max","hil.zephyr.native_sim_32","Sat Dec 20 00:27:17 UTC 2025","passed","Sat Dec 20 00:27:29 UTC 2025","","test_settings","",""
"","29335","test_cancel_all","hil.zephyr.native_sim_64","Sat Dec 20 00:27:37 UTC 2025","passed","Sat Dec 20 00:28:06 UTC 2025","","test_settings","",""
"","389","test_multi_block_upload","hil.zephyr.native_sim_32","Sat Dec 20 00:26:32 UTC 2025","passed","Sat Dec 20 00:26:33 UTC 2025","","test_stream","",""
"","3024","test_lightdb_reported","hil.linux.linux","Sat Dec 20 00:24:44 UTC 2025","passed","Sat Dec 20 00:24:47 UTC 2025","","test_lightdb","",""
"","1066","test_lightdb_deleted","hil.zephyr.native_sim_64","Sat Dec 20 00:26:30 UTC 2025","passed","Sat Dec 20 00:26:31 UTC 2025","","test_lightdb","",""
"","5168","test_malformed_response","hil.linux.linux","Sat Dec 20 00:24:44 UTC 2025","passed","Sat Dec 20 00:24:49 UTC 2025","","test_rpc","",""
"","11632","test_set_int_range_out_min","hil.zephyr.native_sim_64","Sat Dec 20 00:27:02 UTC 2025","passed","Sat Dec 20 00:27:13 UTC 2025","","test_settings","",""
