"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 26 00:25:53 GMT 2024","Sat Oct 26 00:26:12 GMT 2024","18628","hil.zephyr.native_sim_64","test_rpc","","","","test_observation_cancel_all",""
"passed","Sat Oct 26 00:57:38 GMT 2024","Sat Oct 26 00:57:54 GMT 2024","16271","sample.zephyr.mimxrt1024_evk","test_sample","","","","test_lightdb_delete",""
"passed","Sat Oct 26 00:33:22 GMT 2024","Sat Oct 26 00:33:23 GMT 2024","1479","hil.esp-idf.esp32s3_devkitc_espidf","test_rpc","","","","test_no_args",""
"passed","Sat Oct 26 00:59:58 GMT 2024","Sat Oct 26 01:00:26 GMT 2024","27788","sample.zephyr.nrf52840dk","test_sample","","","","test_lightdb_get",""
"passed","Sat Oct 26 01:03:16 GMT 2024","Sat Oct 26 01:03:56 GMT 2024","39542","sample.zephyr.rak5010","test_sample","","","","test_lightdb_observe",""
"passed","Sat Oct 26 00:25:23 GMT 2024","Sat Oct 26 00:25:24 GMT 2024","501","hil.zephyr.native_sim_64","test_rpc","","","","test_float_return",""
"passed","Sat Oct 26 00:47:46 GMT 2024","Sat Oct 26 00:47:48 GMT 2024","1513","hil.zephyr.rak5010","test_rpc","","","","test_invalid_arg",""
"passed","Sat Oct 26 00:55:17 GMT 2024","Sat Oct 26 00:55:32 GMT 2024","14072","sample.zephyr.nrf52840dk","test_sample","","","","test_rpc",""
"passed","Sat Oct 26 00:24:39 GMT 2024","Sat Oct 26 00:24:41 GMT 2024","2108","hil.linux.linux","test_settings","","","","test_set_int",""
"passed","Sat Oct 26 00:37:03 GMT 2024","Sat Oct 26 00:37:06 GMT 2024","3258","hil.esp-idf.esp32s3_devkitc_espidf","test_settings","","","","test_set_float",""
"broken","Sat Oct 26 00:49:20 GMT 2024","Sat Oct 26 00:49:20 GMT 2024","0","hil.zephyr.esp32_devkitc_wrover","test_settings","","","","test_set_int_range",""
"passed","Sat Oct 26 00:25:06 GMT 2024","Sat Oct 26 00:25:07 GMT 2024","872","hil.zephyr.native_sim_32","test_rpc","","","","test_no_args",""
"passed","Sat Oct 26 00:58:59 GMT 2024","Sat Oct 26 00:59:10 GMT 2024","10742","sample.esp-idf.esp32s3_devkitc_espidf","test_sample","","","","test_lightdb_observe",""
"passed","Sat Oct 26 00:33:36 GMT 2024","Sat Oct 26 00:33:38 GMT 2024","1471","hil.esp-idf.esp32c3_devkitm_espidf","test_rpc","","","","test_int_return",""
"passed","Sat Oct 26 00:54:44 GMT 2024","Sat Oct 26 00:55:32 GMT 2024","48125","sample.zephyr.mimxrt1024_evk","test_sample","","","","test_fw_update",""
"broken","Sat Oct 26 01:27:05 GMT 2024","Sat Oct 26 01:28:39 GMT 2024","94368","sample.zephyr.nrf9160dk","test_sample","","","","test_settings",""
"passed","Sat Oct 26 00:47:41 GMT 2024","Sat Oct 26 00:47:42 GMT 2024","1002","hil.zephyr.nrf9160dk","test_rpc","","","","test_string_return",""
"passed","Sat Oct 26 00:47:18 GMT 2024","Sat Oct 26 00:47:19 GMT 2024","710","hil.zephyr.esp32_devkitc_wrover","test_rpc","","","","test_no_args",""
"passed","Sat Oct 26 00:33:25 GMT 2024","Sat Oct 26 00:33:27 GMT 2024","2000","hil.esp-idf.esp32s3_devkitc_espidf","test_rpc","","","","test_many_args",""
