"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1627","test_set_int","hil.zephyr.native_sim_64","Tue Mar 24 08:21:19 UTC 2026","passed","Tue Mar 24 08:21:21 UTC 2026","","test_settings","",""
"","1704","test_set_int_range","hil.linux.linux","Tue Mar 24 08:20:06 UTC 2026","passed","Tue Mar 24 08:20:08 UTC 2026","","test_settings","",""
"","26813","test_cancel_all","hil.linux.linux","Tue Mar 24 08:20:40 UTC 2026","passed","Tue Mar 24 08:21:07 UTC 2026","","test_settings","",""
"","5039","test_resume","hil.zephyr.native_sim_64","Tue Mar 24 08:21:18 UTC 2026","passed","Tue Mar 24 08:21:23 UTC 2026","","test_ota","",""
"","20437","test_lightdb_get","sample.zephyr.native_sim_64","Tue Mar 24 08:21:41 UTC 2026","passed","Tue Mar 24 08:22:01 UTC 2026","","lightdb_get","",""
"","739","test_no_args","hil.zephyr.native_sim_64","Tue Mar 24 08:21:13 UTC 2026","passed","Tue Mar 24 08:21:14 UTC 2026","","test_rpc","",""
"","11379","test_int_too_small","hil.linux.linux","Tue Mar 24 08:19:55 UTC 2026","passed","Tue Mar 24 08:20:06 UTC 2026","","test_settings","",""
"","28951","test_cancel_all","hil.zephyr.native_sim_64","Tue Mar 24 08:22:26 UTC 2026","passed","Tue Mar 24 08:22:55 UTC 2026","","test_settings","",""
"","198","test_invalid_arg","hil.zephyr.native_sim_32","Tue Mar 24 08:21:25 UTC 2026","passed","Tue Mar 24 08:21:25 UTC 2026","","test_rpc","",""
"","272","test_manifest","hil.linux.linux","Tue Mar 24 08:19:35 UTC 2026","passed","Tue Mar 24 08:19:35 UTC 2026","","test_ota","",""
"","18791","test_observation_repeat_restart","hil.linux.linux","Tue Mar 24 08:19:35 UTC 2026","passed","Tue Mar 24 08:19:54 UTC 2026","","test_rpc","",""
"","18368","test_observation_cancel_all","hil.zephyr.native_sim_32","Tue Mar 24 08:21:48 UTC 2026","passed","Tue Mar 24 08:22:06 UTC 2026","","test_rpc","",""
"","11487","test_int_too_large","hil.linux.linux","Tue Mar 24 08:19:43 UTC 2026","passed","Tue Mar 24 08:19:55 UTC 2026","","test_settings","",""
"","722","test_no_args","hil.zephyr.native_sim_32","Tue Mar 24 08:21:15 UTC 2026","passed","Tue Mar 24 08:21:16 UTC 2026","","test_rpc","",""
"","22350","test_stream","sample.zephyr.native_sim_64","Tue Mar 24 08:21:34 UTC 2026","passed","Tue Mar 24 08:21:56 UTC 2026","","stream","",""
"","249","test_string_return","hil.zephyr.native_sim_32","Tue Mar 24 08:21:19 UTC 2026","passed","Tue Mar 24 08:21:19 UTC 2026","","test_rpc","",""
"","2871","test_set_bool","hil.zephyr.native_sim_64","Tue Mar 24 08:22:14 UTC 2026","passed","Tue Mar 24 08:22:17 UTC 2026","","test_settings","",""
"","11731","test_int_too_large","hil.zephyr.native_sim_32","Tue Mar 24 08:21:31 UTC 2026","passed","Tue Mar 24 08:21:42 UTC 2026","","test_settings","",""
"","26181","test_restart","hil.linux.linux","Tue Mar 24 08:21:07 UTC 2026","passed","Tue Mar 24 08:21:33 UTC 2026","","test_settings","",""
"","1502","test_set_float_whole","hil.linux.linux","Tue Mar 24 08:20:37 UTC 2026","passed","Tue Mar 24 08:20:38 UTC 2026","","test_settings","",""
"","11591","test_set_int_range_out_min","hil.zephyr.native_sim_64","Tue Mar 24 08:21:52 UTC 2026","passed","Tue Mar 24 08:22:03 UTC 2026","","test_settings","",""
"","22432","test_stream","sample.zephyr.native_sim_32","Tue Mar 24 08:21:33 UTC 2026","passed","Tue Mar 24 08:21:56 UTC 2026","","stream","",""
"","2660","test_set_int_range","hil.zephyr.native_sim_64","Tue Mar 24 08:21:44 UTC 2026","passed","Tue Mar 24 08:21:46 UTC 2026","","test_settings","",""
"","2835","test_set_float_whole","hil.zephyr.native_sim_32","Tue Mar 24 08:22:32 UTC 2026","passed","Tue Mar 24 08:22:35 UTC 2026","","test_settings","",""
"","380","test_invalid_arg","hil.linux.linux","Tue Mar 24 08:19:35 UTC 2026","passed","Tue Mar 24 08:19:35 UTC 2026","","test_rpc","",""
"","381","test_multiple_artifacts","hil.linux.linux","Tue Mar 24 08:19:35 UTC 2026","passed","Tue Mar 24 08:19:35 UTC 2026","","test_ota","",""
"","11631","test_set_int_range_out_min","hil.zephyr.native_sim_32","Tue Mar 24 08:22:02 UTC 2026","passed","Tue Mar 24 08:22:14 UTC 2026","","test_settings","",""
"","82118","test_hello","sample.zephyr.native_sim_32","Tue Mar 24 08:22:19 UTC 2026","failed","Tue Mar 24 08:23:42 UTC 2026","","hello.cid","",""
"","478","test_no_args","hil.linux.linux","Tue Mar 24 08:19:26 UTC 2026","passed","Tue Mar 24 08:19:26 UTC 2026","","test_rpc","",""
"","292","test_float_return","hil.zephyr.native_sim_64","Tue Mar 24 08:21:16 UTC 2026","passed","Tue Mar 24 08:21:17 UTC 2026","","test_rpc","",""
"","132","test_wrong_type","hil.zephyr.native_sim_64","Tue Mar 24 08:22:26 UTC 2026","passed","Tue Mar 24 08:22:26 UTC 2026","","test_settings","",""
"","729","test_not_registered","hil.linux.linux","Tue Mar 24 08:19:25 UTC 2026","passed","Tue Mar 24 08:19:26 UTC 2026","","test_rpc","",""
"","153","test_multi_block_upload","hil.linux.linux","Tue Mar 24 08:19:37 UTC 2026","passed","Tue Mar 24 08:19:37 UTC 2026","","test_stream","",""
"","261","test_int_return","hil.zephyr.native_sim_64","Tue Mar 24 08:21:16 UTC 2026","passed","Tue Mar 24 08:21:16 UTC 2026","","test_rpc","",""
"","1119","test_many_args","hil.zephyr.native_sim_64","Tue Mar 24 08:21:15 UTC 2026","passed","Tue Mar 24 08:21:16 UTC 2026","","test_rpc","",""
"","69169","test_reason_and_state","hil.zephyr.native_sim_32","Tue Mar 24 08:21:33 UTC 2026","passed","Tue Mar 24 08:22:42 UTC 2026","","test_ota","",""
"","1081","test_lightdb_deleted","hil.linux.linux","Tue Mar 24 08:19:42 UTC 2026","passed","Tue Mar 24 08:19:43 UTC 2026","","test_lightdb","",""
"","5061","test_malformed_response","hil.zephyr.native_sim_32","Tue Mar 24 08:21:20 UTC 2026","passed","Tue Mar 24 08:21:25 UTC 2026","","test_rpc","",""
"","7380","test_lightdb_delete","sample.zephyr.native_sim_64","Tue Mar 24 08:21:42 UTC 2026","passed","Tue Mar 24 08:21:49 UTC 2026","","lightdb_delete","",""
"","5747","test_settings","sample.zephyr.native_sim_64","Tue Mar 24 08:21:34 UTC 2026","passed","Tue Mar 24 08:21:39 UTC 2026","","settings","",""
"","347","test_multi_block_upload","hil.zephyr.native_sim_32","Tue Mar 24 08:21:28 UTC 2026","passed","Tue Mar 24 08:21:28 UTC 2026","","test_stream","",""
"","1128","test_one_arg","hil.zephyr.native_sim_64","Tue Mar 24 08:21:14 UTC 2026","passed","Tue Mar 24 08:21:15 UTC 2026","","test_rpc","",""
"","15490","test_lightdb_set","sample.zephyr.native_sim_64","Tue Mar 24 08:21:39 UTC 2026","passed","Tue Mar 24 08:21:54 UTC 2026","","lightdb_set","",""
"","389","test_string_return","hil.linux.linux","Tue Mar 24 08:19:28 UTC 2026","passed","Tue Mar 24 08:19:28 UTC 2026","","test_rpc","",""
"","27239","test_restart","hil.zephyr.native_sim_64","Tue Mar 24 08:22:55 UTC 2026","passed","Tue Mar 24 08:23:22 UTC 2026","","test_settings","",""
"","7257","test_lightdb_observed","hil.linux.linux","Tue Mar 24 08:19:43 UTC 2026","passed","Tue Mar 24 08:19:50 UTC 2026","","test_lightdb","",""
"","410","test_float_return","hil.zephyr.native_sim_32","Tue Mar 24 08:21:19 UTC 2026","passed","Tue Mar 24 08:21:19 UTC 2026","","test_rpc","",""
"","17168","test_location","sample.zephyr.native_sim_64","Tue Mar 24 08:22:49 UTC 2026","passed","Tue Mar 24 08:23:06 UTC 2026","","location.playback","",""
"","6195","test_block_upload","hil.zephyr.native_sim_32","Tue Mar 24 08:21:22 UTC 2026","passed","Tue Mar 24 08:21:28 UTC 2026","","test_stream","",""
"","16295","test_cert_provisioning","sample.zephyr.native_sim_64","Tue Mar 24 08:21:54 UTC 2026","passed","Tue Mar 24 08:22:10 UTC 2026","","certificate_provisioning.psa_crypto","",""
"","225","test_int_return","hil.zephyr.native_sim_32","Tue Mar 24 08:21:18 UTC 2026","passed","Tue Mar 24 08:21:19 UTC 2026","","test_rpc","",""
"","207","test_bool_return","hil.zephyr.native_sim_64","Tue Mar 24 08:21:17 UTC 2026","passed","Tue Mar 24 08:21:17 UTC 2026","","test_rpc","",""
