"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 06 04:08:46 GMT 2025","Mon Jan 06 04:09:33 GMT 2025","47242","hil.zephyr.native_sim_32","test_ota","","","","test_reason_and_state",""
"passed","Mon Jan 06 04:12:00 GMT 2025","Mon Jan 06 04:12:25 GMT 2025","25410","sample.zephyr.native_sim_64","test_sample","","","","test_lightdb_get",""
"passed","Mon Jan 06 04:06:45 GMT 2025","Mon Jan 06 04:06:45 GMT 2025","501","hil.linux.linux","test_rpc","","","","test_bool_return",""
"passed","Mon Jan 06 04:07:34 GMT 2025","Mon Jan 06 04:07:36 GMT 2025","2013","hil.linux.linux","test_settings","","","","test_set_bool",""
"passed","Mon Jan 06 04:06:41 GMT 2025","Mon Jan 06 04:06:42 GMT 2025","448","hil.linux.linux","test_rpc","","","","test_not_registered",""
"passed","Mon Jan 06 04:07:41 GMT 2025","Mon Jan 06 04:07:41 GMT 2025","149","hil.linux.linux","test_settings","","","","test_wrong_type",""
"passed","Mon Jan 06 04:07:22 GMT 2025","Mon Jan 06 04:07:34 GMT 2025","11456","hil.linux.linux","test_settings","","","","test_set_int_range_out_max",""
"passed","Mon Jan 06 04:11:28 GMT 2025","Mon Jan 06 04:11:53 GMT 2025","25156","sample.zephyr.native_sim_32","test_sample","","","","test_lightdb_get",""
"passed","Mon Jan 06 04:06:43 GMT 2025","Mon Jan 06 04:06:44 GMT 2025","497","hil.linux.linux","test_rpc","","","","test_int_return",""
"passed","Mon Jan 06 04:09:35 GMT 2025","Mon Jan 06 04:09:38 GMT 2025","3028","hil.zephyr.native_sim_64","test_settings","","","","test_set_bool",""
"passed","Mon Jan 06 04:08:28 GMT 2025","Mon Jan 06 04:08:29 GMT 2025","1098","hil.zephyr.native_sim_64","test_rpc","","","","test_one_arg",""
"passed","Mon Jan 06 04:09:46 GMT 2025","Mon Jan 06 04:09:47 GMT 2025","251","hil.zephyr.native_sim_64","test_settings","","","","test_unrecognized_key",""
"passed","Mon Jan 06 04:09:30 GMT 2025","Mon Jan 06 04:09:47 GMT 2025","16736","sample.zephyr.native_sim_64","test_sample","","","","test_logging",""
"passed","Mon Jan 06 04:06:42 GMT 2025","Mon Jan 06 04:06:43 GMT 2025","500","hil.linux.linux","test_rpc","","","","test_one_arg",""
"passed","Mon Jan 06 04:12:50 GMT 2025","Mon Jan 06 04:12:56 GMT 2025","5984","sample.zephyr.native_sim_64","test_sample","","","","test_lightdb_observe",""
"passed","Mon Jan 06 04:08:32 GMT 2025","Mon Jan 06 04:08:37 GMT 2025","5064","hil.zephyr.native_sim_64","test_rpc","","","","test_malformed_response",""
"passed","Mon Jan 06 04:12:35 GMT 2025","Mon Jan 06 04:12:55 GMT 2025","20696","sample.zephyr.native_sim_64","test_sample","","","","test_lightdb_set",""
"passed","Mon Jan 06 04:08:31 GMT 2025","Mon Jan 06 04:08:32 GMT 2025","252","hil.zephyr.native_sim_64","test_rpc","","","","test_object_return",""
"passed","Mon Jan 06 04:08:27 GMT 2025","Mon Jan 06 04:08:33 GMT 2025","5255","hil.zephyr.native_sim_32","test_rpc","","","","test_malformed_response",""
"passed","Mon Jan 06 04:08:30 GMT 2025","Mon Jan 06 04:08:32 GMT 2025","1287","hil.zephyr.native_sim_64","test_lightdb","","","","test_lightdb_reported",""
"passed","Mon Jan 06 04:08:27 GMT 2025","Mon Jan 06 04:08:27 GMT 2025","397","hil.zephyr.native_sim_64","test_rpc","","","","test_not_registered",""
"passed","Mon Jan 06 04:10:20 GMT 2025","Mon Jan 06 04:10:41 GMT 2025","21385","sample.zephyr.native_sim_32","test_sample","","","","test_hello",""
"passed","Mon Jan 06 04:06:59 GMT 2025","Mon Jan 06 04:07:01 GMT 2025","1841","hil.linux.linux","test_lightdb","","","","test_lightdb_deleted",""
"passed","Mon Jan 06 04:09:47 GMT 2025","Mon Jan 06 04:09:47 GMT 2025","213","hil.zephyr.native_sim_64","test_settings","","","","test_wrong_type",""
"passed","Mon Jan 06 04:08:36 GMT 2025","Mon Jan 06 04:08:39 GMT 2025","3008","hil.zephyr.native_sim_64","test_settings","","","","test_set_int",""
"passed","Mon Jan 06 04:08:26 GMT 2025","Mon Jan 06 04:08:26 GMT 2025","240","hil.zephyr.native_sim_32","test_rpc","","","","test_float_return",""
"passed","Mon Jan 06 04:06:42 GMT 2025","Mon Jan 06 04:06:42 GMT 2025","495","hil.linux.linux","test_rpc","","","","test_no_args",""
"passed","Mon Jan 06 04:09:12 GMT 2025","Mon Jan 06 04:09:23 GMT 2025","11723","hil.zephyr.native_sim_32","test_settings","","","","test_set_int_range_out_min",""
"passed","Mon Jan 06 04:08:26 GMT 2025","Mon Jan 06 04:08:26 GMT 2025","252","hil.zephyr.native_sim_32","test_rpc","","","","test_string_return",""
"passed","Mon Jan 06 04:08:17 GMT 2025","Mon Jan 06 04:08:47 GMT 2025","29911","hil.zephyr.native_sim_64","test_connection","","","","test_connect",""
"passed","Mon Jan 06 04:08:51 GMT 2025","Mon Jan 06 04:09:03 GMT 2025","11630","hil.zephyr.native_sim_32","test_settings","","","","test_int_too_small",""
"passed","Mon Jan 06 04:08:53 GMT 2025","Mon Jan 06 04:08:55 GMT 2025","1538","hil.zephyr.native_sim_64","test_ota","","","","test_block_operations",""
"passed","Mon Jan 06 04:08:38 GMT 2025","Mon Jan 06 04:08:41 GMT 2025","2830","hil.zephyr.native_sim_32","test_lightdb","","","","test_lightdb_reported",""
"passed","Mon Jan 06 04:09:43 GMT 2025","Mon Jan 06 04:09:46 GMT 2025","3021","hil.zephyr.native_sim_64","test_settings","","","","test_set_string",""
"passed","Mon Jan 06 04:08:32 GMT 2025","Mon Jan 06 04:08:32 GMT 2025","827","hil.zephyr.native_sim_64","test_lightdb","","","","test_lightdb_deleted",""
"passed","Mon Jan 06 04:08:43 GMT 2025","Mon Jan 06 04:08:43 GMT 2025","233","hil.zephyr.native_sim_32","test_lightdb","","","","test_lightdb_invalid",""
"passed","Mon Jan 06 04:08:22 GMT 2025","Mon Jan 06 04:08:23 GMT 2025","722","hil.zephyr.native_sim_32","test_rpc","","","","test_no_args",""
"passed","Mon Jan 06 04:08:27 GMT 2025","Mon Jan 06 04:08:28 GMT 2025","726","hil.zephyr.native_sim_64","test_rpc","","","","test_no_args",""
"passed","Mon Jan 06 04:06:43 GMT 2025","Mon Jan 06 04:06:43 GMT 2025","498","hil.linux.linux","test_rpc","","","","test_many_args",""
"passed","Mon Jan 06 04:07:11 GMT 2025","Mon Jan 06 04:07:28 GMT 2025","16852","hil.linux.linux","test_rpc","","","","test_observation_cancel_all",""
"passed","Mon Jan 06 04:07:41 GMT 2025","Mon Jan 06 04:07:41 GMT 2025","154","hil.linux.linux","test_settings","","","","test_unrecognized_key",""
"passed","Mon Jan 06 04:08:31 GMT 2025","Mon Jan 06 04:08:38 GMT 2025","7304","hil.zephyr.native_sim_32","test_stream","","","","test_block_upload",""
"passed","Mon Jan 06 04:08:24 GMT 2025","Mon Jan 06 04:08:54 GMT 2025","29916","hil.zephyr.native_sim_32","test_connection","","","","test_connect",""
"passed","Mon Jan 06 04:08:33 GMT 2025","Mon Jan 06 04:08:56 GMT 2025","22632","hil.zephyr.native_sim_32","test_rpc","","","","test_observation_repeat_restart",""
"passed","Mon Jan 06 04:09:03 GMT 2025","Mon Jan 06 04:09:06 GMT 2025","3111","hil.zephyr.native_sim_32","test_settings","","","","test_set_int_range",""
"passed","Mon Jan 06 04:09:44 GMT 2025","Mon Jan 06 04:09:47 GMT 2025","3077","hil.zephyr.native_sim_32","test_settings","","","","test_set_string",""
"passed","Mon Jan 06 04:10:16 GMT 2025","Mon Jan 06 04:10:44 GMT 2025","27668","hil.zephyr.native_sim_64","test_settings","","","","test_restart",""
"passed","Mon Jan 06 04:08:26 GMT 2025","Mon Jan 06 04:08:27 GMT 2025","507","hil.zephyr.native_sim_32","test_rpc","","","","test_bool_return",""
"passed","Mon Jan 06 04:06:51 GMT 2025","Mon Jan 06 04:07:40 GMT 2025","49305","hil.linux.linux","test_ota","","","","test_reason_and_state",""
"passed","Mon Jan 06 04:06:32 GMT 2025","Mon Jan 06 04:06:40 GMT 2025","7408","hil.linux.linux","test_stream","","","","test_block_upload",""
"passed","Mon Jan 06 04:08:32 GMT 2025","Mon Jan 06 04:08:38 GMT 2025","5310","hil.zephyr.native_sim_64","test_lightdb","","","","test_lightdb_observed",""
"passed","Mon Jan 06 04:06:45 GMT 2025","Mon Jan 06 04:06:46 GMT 2025","531","hil.linux.linux","test_rpc","","","","test_object_return",""
"passed","Mon Jan 06 04:09:03 GMT 2025","Mon Jan 06 04:09:06 GMT 2025","3097","hil.zephyr.native_sim_64","test_settings","","","","test_set_int_range",""
"passed","Mon Jan 06 04:09:48 GMT 2025","Mon Jan 06 04:10:17 GMT 2025","29557","hil.zephyr.native_sim_32","test_settings","","","","test_cancel_all",""
"passed","Mon Jan 06 04:09:06 GMT 2025","Mon Jan 06 04:09:09 GMT 2025","2762","hil.zephyr.native_sim_32","test_settings","","","","test_set_int_range_min",""
"passed","Mon Jan 06 04:06:56 GMT 2025","Mon Jan 06 04:06:59 GMT 2025","2963","hil.linux.linux","test_lightdb","","","","test_lightdb_reported",""
"passed","Mon Jan 06 04:07:41 GMT 2025","Mon Jan 06 04:08:08 GMT 2025","26915","hil.linux.linux","test_settings","","","","test_cancel_all",""
"passed","Mon Jan 06 04:08:31 GMT 2025","Mon Jan 06 04:08:31 GMT 2025","498","hil.zephyr.native_sim_64","test_rpc","","","","test_bool_return",""
"passed","Mon Jan 06 04:09:01 GMT 2025","Mon Jan 06 04:09:51 GMT 2025","50466","hil.zephyr.native_sim_64","test_ota","","","","test_reason_and_state",""
"passed","Mon Jan 06 04:07:37 GMT 2025","Mon Jan 06 04:07:39 GMT 2025","1504","hil.linux.linux","test_settings","","","","test_set_float_whole",""
"passed","Mon Jan 06 04:08:55 GMT 2025","Mon Jan 06 04:09:00 GMT 2025","4550","hil.zephyr.native_sim_64","test_ota","","","","test_resume",""
"passed","Mon Jan 06 04:08:36 GMT 2025","Mon Jan 06 04:08:36 GMT 2025","369","hil.zephyr.native_sim_32","test_ota","","","","test_manifest",""
"passed","Mon Jan 06 04:08:56 GMT 2025","Mon Jan 06 04:09:14 GMT 2025","18399","hil.zephyr.native_sim_32","test_rpc","","","","test_observation_cancel_all",""
"passed","Mon Jan 06 04:06:40 GMT 2025","Mon Jan 06 04:07:06 GMT 2025","25463","hil.linux.linux","test_connection","","","","test_connect",""
"passed","Mon Jan 06 04:07:36 GMT 2025","Mon Jan 06 04:07:37 GMT 2025","1807","hil.linux.linux","test_settings","","","","test_set_float",""
"passed","Mon Jan 06 04:06:44 GMT 2025","Mon Jan 06 04:06:45 GMT 2025","500","hil.linux.linux","test_rpc","","","","test_float_return",""
"passed","Mon Jan 06 04:12:23 GMT 2025","Mon Jan 06 04:12:29 GMT 2025","5930","sample.zephyr.native_sim_32","test_sample","","","","test_lightdb_observe",""
"passed","Mon Jan 06 04:08:38 GMT 2025","Mon Jan 06 04:08:40 GMT 2025","1917","hil.zephyr.native_sim_32","test_settings","","","","test_set_int",""
"passed","Mon Jan 06 04:08:24 GMT 2025","Mon Jan 06 04:08:26 GMT 2025","1298","hil.zephyr.native_sim_32","test_rpc","","","","test_many_args",""
"passed","Mon Jan 06 04:06:40 GMT 2025","Mon Jan 06 04:06:42 GMT 2025","1842","hil.linux.linux","test_settings","","","","test_set_int",""
"passed","Mon Jan 06 04:08:30 GMT 2025","Mon Jan 06 04:08:31 GMT 2025","248","hil.zephyr.native_sim_64","test_rpc","","","","test_string_return",""
"passed","Mon Jan 06 04:09:47 GMT 2025","Mon Jan 06 04:10:16 GMT 2025","29485","hil.zephyr.native_sim_64","test_settings","","","","test_cancel_all",""
"passed","Mon Jan 06 04:08:37 GMT 2025","Mon Jan 06 04:08:37 GMT 2025","307","hil.zephyr.native_sim_32","test_ota","","","","test_multiple_artifacts",""
