"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","121","test_wrong_type","hil.zephyr.native_sim_64","Sun May 17 20:22:52 UTC 2026","passed","Sun May 17 20:22:52 UTC 2026","","test_settings","",""
"","6212","test_rpc","sample.zephyr.native_sim_64","Sun May 17 20:22:38 UTC 2026","passed","Sun May 17 20:22:45 UTC 2026","","rpc","",""
"","460","test_string_return","hil.zephyr.native_sim_64","Sun May 17 20:21:57 UTC 2026","passed","Sun May 17 20:21:57 UTC 2026","","test_rpc","",""
"","5357","test_settings","sample.zephyr.native_sim_64","Sun May 17 20:22:34 UTC 2026","passed","Sun May 17 20:22:39 UTC 2026","","settings","",""
"","11432","test_int_too_large","hil.zephyr.native_sim_64","Sun May 17 20:21:48 UTC 2026","passed","Sun May 17 20:21:59 UTC 2026","","test_settings","",""
"","5697","test_lightdb_observed","hil.zephyr.native_sim_64","Sun May 17 20:21:47 UTC 2026","passed","Sun May 17 20:21:52 UTC 2026","","test_lightdb","",""
"","5584","test_lightdb_observed","hil.linux.linux","Sun May 17 20:20:41 UTC 2026","passed","Sun May 17 20:20:46 UTC 2026","","test_lightdb","",""
"","69172","test_hello","sample.zephyr.native_sim_32","Sun May 17 20:23:38 UTC 2026","passed","Sun May 17 20:24:47 UTC 2026","","hello.cid","",""
"","1268","test_many_args","hil.zephyr.native_sim_32","Sun May 17 20:21:55 UTC 2026","passed","Sun May 17 20:21:56 UTC 2026","","test_rpc","",""
"","16922","test_observation_cancel_all","hil.linux.linux","Sun May 17 20:20:54 UTC 2026","passed","Sun May 17 20:21:11 UTC 2026","","test_rpc","",""
"","137","test_wrong_type","hil.zephyr.native_sim_32","Sun May 17 20:23:09 UTC 2026","passed","Sun May 17 20:23:09 UTC 2026","","test_settings","",""
"","2634","test_set_float_whole","hil.zephyr.native_sim_64","Sun May 17 20:22:46 UTC 2026","passed","Sun May 17 20:22:49 UTC 2026","","test_settings","",""
"","145","test_unrecognized_key","hil.zephyr.native_sim_32","Sun May 17 20:23:09 UTC 2026","passed","Sun May 17 20:23:09 UTC 2026","","test_settings","",""
"","6150","test_block_upload","hil.linux.linux","Sun May 17 20:20:37 UTC 2026","passed","Sun May 17 20:20:43 UTC 2026","","test_stream","",""
"","2681","test_set_int_range_min","hil.zephyr.native_sim_64","Sun May 17 20:22:13 UTC 2026","passed","Sun May 17 20:22:16 UTC 2026","","test_settings","",""
"","11476","test_set_int_range_out_min","hil.zephyr.native_sim_32","Sun May 17 20:22:35 UTC 2026","passed","Sun May 17 20:22:47 UTC 2026","","test_settings","",""
"","498","test_float_return","hil.zephyr.native_sim_64","Sun May 17 20:21:57 UTC 2026","passed","Sun May 17 20:21:58 UTC 2026","","test_rpc","",""
"","1745","test_set_bool","hil.linux.linux","Sun May 17 20:21:25 UTC 2026","passed","Sun May 17 20:21:26 UTC 2026","","test_settings","",""
"","68748","test_hello","sample.zephyr.native_sim_64","Sun May 17 20:23:25 UTC 2026","passed","Sun May 17 20:24:33 UTC 2026","","hello.psa_crypto","",""
"","128","test_unrecognized_key","hil.zephyr.native_sim_64","Sun May 17 20:22:52 UTC 2026","passed","Sun May 17 20:22:52 UTC 2026","","test_settings","",""
"","128","test_unrecognized_key","hil.linux.linux","Sun May 17 20:21:31 UTC 2026","passed","Sun May 17 20:21:31 UTC 2026","","test_settings","",""
"","11397","test_set_int_range_out_min","hil.linux.linux","Sun May 17 20:21:02 UTC 2026","passed","Sun May 17 20:21:13 UTC 2026","","test_settings","",""
"","166","test_multi_block_upload","hil.linux.linux","Sun May 17 20:20:43 UTC 2026","passed","Sun May 17 20:20:43 UTC 2026","","test_stream","",""
