"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2768","test_set_float_whole","hil.zephyr.native_sim_32","Mon Jan 20 20:08:31 GMT 2025","passed","Mon Jan 20 20:08:33 GMT 2025","","test_settings","",""
"","50089","test_reason_and_state","hil.linux.linux","Mon Jan 20 20:05:52 GMT 2025","passed","Mon Jan 20 20:06:42 GMT 2025","","test_ota","",""
"","251","test_object_return","hil.zephyr.native_sim_64","Mon Jan 20 20:07:28 GMT 2025","passed","Mon Jan 20 20:07:28 GMT 2025","","test_rpc","",""
"","11409","test_set_int_range_out_min","hil.zephyr.native_sim_64","Mon Jan 20 20:07:52 GMT 2025","passed","Mon Jan 20 20:08:04 GMT 2025","","test_settings","",""
"","248","test_string_return","hil.linux.linux","Mon Jan 20 20:05:33 GMT 2025","passed","Mon Jan 20 20:05:33 GMT 2025","","test_rpc","",""
"","2667","test_set_int_range_max","hil.zephyr.native_sim_32","Mon Jan 20 20:07:59 GMT 2025","passed","Mon Jan 20 20:08:01 GMT 2025","","test_settings","",""
"","2119","test_set_int","hil.zephyr.native_sim_64","Mon Jan 20 20:07:19 GMT 2025","passed","Mon Jan 20 20:07:22 GMT 2025","","test_settings","",""
"","1498","test_set_float_whole","hil.linux.linux","Mon Jan 20 20:06:29 GMT 2025","passed","Mon Jan 20 20:06:30 GMT 2025","","test_settings","",""
"","256","test_multiple_artifacts","hil.zephyr.native_sim_64","Mon Jan 20 20:07:24 GMT 2025","passed","Mon Jan 20 20:07:24 GMT 2025","","test_ota","",""
"","574","test_not_registered","hil.linux.linux","Mon Jan 20 20:05:31 GMT 2025","passed","Mon Jan 20 20:05:31 GMT 2025","","test_rpc","",""
"","497","test_float_return","hil.zephyr.native_sim_64","Mon Jan 20 20:07:27 GMT 2025","passed","Mon Jan 20 20:07:27 GMT 2025","","test_rpc","",""
"","1457","test_set_int_range_max","hil.linux.linux","Mon Jan 20 20:06:00 GMT 2025","passed","Mon Jan 20 20:06:02 GMT 2025","","test_settings","",""
"","3078","test_set_bool","hil.zephyr.native_sim_32","Mon Jan 20 20:08:25 GMT 2025","passed","Mon Jan 20 20:08:28 GMT 2025","","test_settings","",""
"","250","test_string_return","hil.zephyr.native_sim_32","Mon Jan 20 20:07:27 GMT 2025","passed","Mon Jan 20 20:07:28 GMT 2025","","test_rpc","",""
"","3732","test_lightdb_reported","hil.linux.linux","Mon Jan 20 20:05:40 GMT 2025","passed","Mon Jan 20 20:05:43 GMT 2025","","test_lightdb","",""
"","3059","test_set_int_range","hil.zephyr.native_sim_32","Mon Jan 20 20:07:53 GMT 2025","passed","Mon Jan 20 20:07:56 GMT 2025","","test_settings","",""
"","79","test_lightdb_reported","hil.zephyr.native_sim_32","Mon Jan 20 20:07:28 GMT 2025","failed","Mon Jan 20 20:07:28 GMT 2025","","test_lightdb","",""
