"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_reason_and_state","hil.linux.linux","Wed May 13 20:37:34 UTC 2026","failed","Wed May 13 20:37:34 UTC 2026","","test_ota","",""
"","7538","test_location","sample.zephyr.native_sim_32","Wed May 13 20:41:08 UTC 2026","passed","Wed May 13 20:41:16 UTC 2026","","location.playback.wifi","",""
"","6214","test_block_upload","hil.linux.linux","Wed May 13 20:37:30 UTC 2026","passed","Wed May 13 20:37:36 UTC 2026","","test_stream","",""
"","11641","test_int_too_small","hil.zephyr.native_sim_32","Wed May 13 20:40:06 UTC 2026","passed","Wed May 13 20:40:17 UTC 2026","","test_settings","",""
"","2900","test_set_int","hil.zephyr.native_sim_64","Wed May 13 20:39:35 UTC 2026","passed","Wed May 13 20:39:38 UTC 2026","","test_settings","",""
"","16672","test_cert_provisioning","sample.zephyr.native_sim_32","Wed May 13 20:40:26 UTC 2026","passed","Wed May 13 20:40:42 UTC 2026","","certificate_provisioning.psa_crypto","",""
"","23690","test_hello","sample.zephyr.native_sim_32","Wed May 13 20:40:17 UTC 2026","passed","Wed May 13 20:40:41 UTC 2026","","hello.psa_crypto","",""
"","0","test_resume","hil.linux.linux","Wed May 13 20:37:34 UTC 2026","failed","Wed May 13 20:37:34 UTC 2026","","test_ota","",""
"","23651","test_hello","sample.zephyr.native_sim_64","Wed May 13 20:40:18 UTC 2026","passed","Wed May 13 20:40:41 UTC 2026","","hello.psa_crypto","",""
"","3000","test_set_int","hil.zephyr.native_sim_32","Wed May 13 20:39:51 UTC 2026","passed","Wed May 13 20:39:54 UTC 2026","","test_settings","",""
"","6280","test_block_upload","hil.zephyr.native_sim_64","Wed May 13 20:39:52 UTC 2026","passed","Wed May 13 20:39:58 UTC 2026","","test_stream","",""
"","89933","test_connect","hil.zephyr.native_sim_32","Wed May 13 20:39:41 UTC 2026","passed","Wed May 13 20:41:10 UTC 2026","","test_connection","",""
"","11584","test_set_int_range_out_min","hil.zephyr.native_sim_64","Wed May 13 20:40:09 UTC 2026","passed","Wed May 13 20:40:20 UTC 2026","","test_settings","",""
