"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5010","test_lightdb_observed","hil.zephyr.native_sim_64","Wed Jul 08 12:40:19 UTC 2026","passed","Wed Jul 08 12:40:24 UTC 2026","","test_lightdb","",""
"","311","test_lightdb_deleted","hil.zephyr.native_sim_64","Wed Jul 08 12:40:19 UTC 2026","passed","Wed Jul 08 12:40:19 UTC 2026","","test_lightdb","",""
"","2538","test_set_bool","hil.zephyr.native_sim_32","Wed Jul 08 12:41:15 UTC 2026","passed","Wed Jul 08 12:41:17 UTC 2026","","test_settings","",""
"","11461","test_int_too_small","hil.zephyr.native_sim_64","Wed Jul 08 12:40:25 UTC 2026","passed","Wed Jul 08 12:40:36 UTC 2026","","test_settings","",""
"","11696","test_set_int_range_out_min","hil.linux.linux","Wed Jul 08 12:39:08 UTC 2026","passed","Wed Jul 08 12:39:19 UTC 2026","","test_settings","",""
"","2528","test_set_string","hil.zephyr.native_sim_64","Wed Jul 08 12:41:14 UTC 2026","passed","Wed Jul 08 12:41:17 UTC 2026","","test_settings","",""
"","1877","test_set_float_whole","hil.linux.linux","Wed Jul 08 12:39:35 UTC 2026","passed","Wed Jul 08 12:39:37 UTC 2026","","test_settings","",""
"","90016","test_connect","hil.zephyr.native_sim_64","Wed Jul 08 12:40:08 UTC 2026","passed","Wed Jul 08 12:41:38 UTC 2026","","test_connection","",""
"","11493","test_int_too_large","hil.zephyr.native_sim_32","Wed Jul 08 12:40:23 UTC 2026","passed","Wed Jul 08 12:40:34 UTC 2026","","test_settings","",""
"","2564","test_set_bool","hil.zephyr.native_sim_64","Wed Jul 08 12:41:07 UTC 2026","passed","Wed Jul 08 12:41:09 UTC 2026","","test_settings","",""
"","18559","test_observation_cancel_all","hil.zephyr.native_sim_32","Wed Jul 08 12:40:49 UTC 2026","passed","Wed Jul 08 12:41:08 UTC 2026","","test_rpc","",""
"","22482","test_hello","sample.zephyr.native_sim_32","Wed Jul 08 12:41:49 UTC 2026","passed","Wed Jul 08 12:42:11 UTC 2026","","hello.psa_crypto","",""
"","7288","test_lightdb_delete","sample.zephyr.native_sim_64","Wed Jul 08 12:40:49 UTC 2026","passed","Wed Jul 08 12:40:56 UTC 2026","","lightdb_delete","",""
"","11408","test_set_int_range_out_max","hil.zephyr.native_sim_32","Wed Jul 08 12:41:03 UTC 2026","passed","Wed Jul 08 12:41:15 UTC 2026","","test_settings","",""
"","2505","test_set_float_whole","hil.zephyr.native_sim_32","Wed Jul 08 12:41:20 UTC 2026","passed","Wed Jul 08 12:41:22 UTC 2026","","test_settings","",""
"","270","test_multi_block_upload","hil.zephyr.native_sim_64","Wed Jul 08 12:40:31 UTC 2026","passed","Wed Jul 08 12:40:31 UTC 2026","","test_stream","",""
"","815","test_no_args","hil.zephyr.native_sim_64","Wed Jul 08 12:40:14 UTC 2026","passed","Wed Jul 08 12:40:15 UTC 2026","","test_rpc","",""
"","2160","test_set_int_range","hil.linux.linux","Wed Jul 08 12:39:02 UTC 2026","passed","Wed Jul 08 12:39:04 UTC 2026","","test_settings","",""
"","779","test_lightdb_deleted","hil.linux.linux","Wed Jul 08 12:38:24 UTC 2026","passed","Wed Jul 08 12:38:25 UTC 2026","","test_lightdb","",""
"","496","test_bool_return","hil.linux.linux","Wed Jul 08 12:38:38 UTC 2026","passed","Wed Jul 08 12:38:38 UTC 2026","","test_rpc","",""
"","727","test_not_registered","hil.linux.linux","Wed Jul 08 12:38:34 UTC 2026","passed","Wed Jul 08 12:38:34 UTC 2026","","test_rpc","",""
"","4948","test_resume","hil.zephyr.native_sim_64","Wed Jul 08 12:40:17 UTC 2026","passed","Wed Jul 08 12:40:22 UTC 2026","","test_ota","",""
"","6145","test_rpc","sample.zephyr.native_sim_64","Wed Jul 08 12:40:35 UTC 2026","passed","Wed Jul 08 12:40:41 UTC 2026","","rpc","",""
"","85157","test_connect","hil.linux.linux","Wed Jul 08 12:38:24 UTC 2026","passed","Wed Jul 08 12:39:49 UTC 2026","","test_connection","",""
