"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","217","test_object_return","hil.zephyr.native_sim_64","Sun Apr 12 05:02:52 UTC 2026","passed","Sun Apr 12 05:02:52 UTC 2026","","test_rpc","",""
"","4908","test_resume","hil.zephyr.native_sim_64","Sun Apr 12 05:02:52 UTC 2026","passed","Sun Apr 12 05:02:57 UTC 2026","","test_ota","",""
"","2392","test_set_int_range_max","hil.zephyr.native_sim_32","Sun Apr 12 05:03:26 UTC 2026","passed","Sun Apr 12 05:03:28 UTC 2026","","test_settings","",""
"","2753","test_set_int_range_max","hil.zephyr.native_sim_64","Sun Apr 12 05:03:29 UTC 2026","passed","Sun Apr 12 05:03:32 UTC 2026","","test_settings","",""
"","1329","test_lightdb_reported","hil.linux.linux","Sun Apr 12 05:01:13 UTC 2026","passed","Sun Apr 12 05:01:14 UTC 2026","","test_lightdb","",""
"","458","test_many_args","hil.linux.linux","Sun Apr 12 05:01:19 UTC 2026","passed","Sun Apr 12 05:01:19 UTC 2026","","test_rpc","",""
"","5963","test_lightdb_observed","hil.zephyr.native_sim_32","Sun Apr 12 05:03:00 UTC 2026","passed","Sun Apr 12 05:03:06 UTC 2026","","test_lightdb","",""
"","6084","test_rpc","sample.zephyr.native_sim_32","Sun Apr 12 05:03:15 UTC 2026","passed","Sun Apr 12 05:03:21 UTC 2026","","rpc","",""
"","5368","test_lightdb_observe","sample.zephyr.native_sim_64","Sun Apr 12 05:03:26 UTC 2026","passed","Sun Apr 12 05:03:32 UTC 2026","","lightdb_observe","",""
"","81783","test_hello","sample.zephyr.native_sim_64","Sun Apr 12 05:03:59 UTC 2026","failed","Sun Apr 12 05:05:21 UTC 2026","","hello","",""
"","17418","test_location","sample.zephyr.native_sim_32","Sun Apr 12 05:04:25 UTC 2026","passed","Sun Apr 12 05:04:43 UTC 2026","","location.playback","",""
"","6266","test_lightdb_observed","hil.zephyr.native_sim_64","Sun Apr 12 05:02:56 UTC 2026","passed","Sun Apr 12 05:03:02 UTC 2026","","test_lightdb","",""
"","187","test_invalid_arg","hil.zephyr.native_sim_64","Sun Apr 12 05:02:57 UTC 2026","passed","Sun Apr 12 05:02:57 UTC 2026","","test_rpc","",""
"","270","test_bool_return","hil.zephyr.native_sim_64","Sun Apr 12 05:02:51 UTC 2026","passed","Sun Apr 12 05:02:52 UTC 2026","","test_rpc","",""
"","630","test_lightdb_deleted","hil.zephyr.native_sim_64","Sun Apr 12 05:02:56 UTC 2026","passed","Sun Apr 12 05:02:56 UTC 2026","","test_lightdb","",""
"","250","test_float_return","hil.zephyr.native_sim_32","Sun Apr 12 05:02:48 UTC 2026","passed","Sun Apr 12 05:02:48 UTC 2026","","test_rpc","",""
"","221","test_string_return","hil.zephyr.native_sim_32","Sun Apr 12 05:02:48 UTC 2026","passed","Sun Apr 12 05:02:48 UTC 2026","","test_rpc","",""
"","17257","test_location","sample.zephyr.native_sim_64","Sun Apr 12 05:04:54 UTC 2026","passed","Sun Apr 12 05:05:11 UTC 2026","","location.playback","",""
"","82033","test_hello","sample.zephyr.native_sim_32","Sun Apr 12 05:04:29 UTC 2026","failed","Sun Apr 12 05:05:51 UTC 2026","","hello.psa_crypto","",""
"","7413","test_location","sample.zephyr.native_sim_64","Sun Apr 12 05:04:54 UTC 2026","passed","Sun Apr 12 05:05:01 UTC 2026","","location.playback.wifi","",""
"","2875","test_set_int_range","hil.zephyr.native_sim_32","Sun Apr 12 05:03:20 UTC 2026","passed","Sun Apr 12 05:03:23 UTC 2026","","test_settings","",""
"","5646","test_settings","sample.zephyr.native_sim_32","Sun Apr 12 05:03:25 UTC 2026","passed","Sun Apr 12 05:03:30 UTC 2026","","settings","",""
"","11509","test_int_too_small","hil.zephyr.native_sim_32","Sun Apr 12 05:03:09 UTC 2026","passed","Sun Apr 12 05:03:20 UTC 2026","","test_settings","",""
"","1106","test_lightdb_deleted","hil.linux.linux","Sun Apr 12 05:01:14 UTC 2026","passed","Sun Apr 12 05:01:16 UTC 2026","","test_lightdb","",""
"","27089","test_restart","hil.zephyr.native_sim_32","Sun Apr 12 05:04:30 UTC 2026","passed","Sun Apr 12 05:04:57 UTC 2026","","test_settings","",""
"","1457","test_set_int_range_min","hil.linux.linux","Sun Apr 12 05:01:43 UTC 2026","passed","Sun Apr 12 05:01:45 UTC 2026","","test_settings","",""
"","2848","test_set_bool","hil.zephyr.native_sim_64","Sun Apr 12 05:03:55 UTC 2026","passed","Sun Apr 12 05:03:58 UTC 2026","","test_settings","",""
"","29244","test_cancel_all","hil.zephyr.native_sim_64","Sun Apr 12 05:04:07 UTC 2026","passed","Sun Apr 12 05:04:36 UTC 2026","","test_settings","",""
"","2964","test_set_float","hil.zephyr.native_sim_64","Sun Apr 12 05:03:58 UTC 2026","passed","Sun Apr 12 05:04:01 UTC 2026","","test_settings","",""
"","17319","test_location","sample.zephyr.native_sim_32","Sun Apr 12 05:04:25 UTC 2026","passed","Sun Apr 12 05:04:43 UTC 2026","","location.playback.cellular","",""
"","1178","test_many_args","hil.zephyr.native_sim_32","Sun Apr 12 05:02:47 UTC 2026","passed","Sun Apr 12 05:02:48 UTC 2026","","test_rpc","",""
"","6145","test_block_upload","hil.zephyr.native_sim_64","Sun Apr 12 05:02:56 UTC 2026","passed","Sun Apr 12 05:03:02 UTC 2026","","test_stream","",""
"","885","test_lightdb_reported","hil.zephyr.native_sim_64","Sun Apr 12 05:02:55 UTC 2026","passed","Sun Apr 12 05:02:56 UTC 2026","","test_lightdb","",""
"","222","test_int_return","hil.zephyr.native_sim_32","Sun Apr 12 05:02:48 UTC 2026","passed","Sun Apr 12 05:02:48 UTC 2026","","test_rpc","",""
"","1268","test_one_arg","hil.zephyr.native_sim_64","Sun Apr 12 05:02:48 UTC 2026","passed","Sun Apr 12 05:02:49 UTC 2026","","test_rpc","",""
"","16510","test_cert_provisioning","sample.zephyr.native_sim_32","Sun Apr 12 05:03:38 UTC 2026","passed","Sun Apr 12 05:03:55 UTC 2026","","certificate_provisioning","",""
"","81937","test_hello","sample.zephyr.native_sim_64","Sun Apr 12 05:04:00 UTC 2026","failed","Sun Apr 12 05:05:22 UTC 2026","","hello.psa_crypto","",""
"","200","test_wrong_type","hil.zephyr.native_sim_64","Sun Apr 12 05:04:07 UTC 2026","passed","Sun Apr 12 05:04:07 UTC 2026","","test_settings","",""
