"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5110","test_malformed_response","hil.linux.linux","Mon Feb 02 16:12:17 UTC 2026","passed","Mon Feb 02 16:12:22 UTC 2026","","test_rpc","",""
"","1299","test_many_args","hil.zephyr.native_sim_64","Mon Feb 02 16:14:07 UTC 2026","passed","Mon Feb 02 16:14:08 UTC 2026","","test_rpc","",""
"","15481","test_lightdb_set","sample.zephyr.native_sim_32","Mon Feb 02 16:14:42 UTC 2026","passed","Mon Feb 02 16:14:57 UTC 2026","","lightdb_set","",""
"","22392","test_stream","sample.zephyr.native_sim_64","Mon Feb 02 16:14:43 UTC 2026","passed","Mon Feb 02 16:15:06 UTC 2026","","stream","",""
"","27110","test_cancel_all","hil.linux.linux","Mon Feb 02 16:13:22 UTC 2026","passed","Mon Feb 02 16:13:49 UTC 2026","","test_settings","",""
"","39008","test_reason_and_state","hil.zephyr.native_sim_32","Mon Feb 02 16:14:15 UTC 2026","passed","Mon Feb 02 16:14:54 UTC 2026","","test_ota","",""
"","11230","test_int_too_large","hil.zephyr.native_sim_64","Mon Feb 02 16:14:09 UTC 2026","passed","Mon Feb 02 16:14:21 UTC 2026","","test_settings","",""
"","955","test_no_args","hil.zephyr.native_sim_32","Mon Feb 02 16:14:02 UTC 2026","passed","Mon Feb 02 16:14:03 UTC 2026","","test_rpc","",""
"","28794","test_cancel_all","hil.zephyr.native_sim_32","Mon Feb 02 16:15:09 UTC 2026","passed","Mon Feb 02 16:15:38 UTC 2026","","test_settings","",""
"","199","test_multi_block_upload","hil.zephyr.native_sim_32","Mon Feb 02 16:14:31 UTC 2026","passed","Mon Feb 02 16:14:31 UTC 2026","","test_stream","",""
"","28732","test_cancel_all","hil.zephyr.native_sim_64","Mon Feb 02 16:15:11 UTC 2026","passed","Mon Feb 02 16:15:40 UTC 2026","","test_settings","",""
"","6283","test_block_upload","hil.zephyr.native_sim_64","Mon Feb 02 16:14:11 UTC 2026","passed","Mon Feb 02 16:14:17 UTC 2026","","test_stream","",""
"","500","test_int_return","hil.linux.linux","Mon Feb 02 16:12:15 UTC 2026","passed","Mon Feb 02 16:12:16 UTC 2026","","test_rpc","",""
"","1178","test_one_arg","hil.zephyr.native_sim_64","Mon Feb 02 16:14:05 UTC 2026","passed","Mon Feb 02 16:14:07 UTC 2026","","test_rpc","",""
"","17150","test_location","sample.zephyr.native_sim_64","Mon Feb 02 16:15:54 UTC 2026","passed","Mon Feb 02 16:16:11 UTC 2026","","location.playback","",""
"","495","test_no_args","hil.linux.linux","Mon Feb 02 16:12:14 UTC 2026","passed","Mon Feb 02 16:12:14 UTC 2026","","test_rpc","",""
